[[], [], [], [8674, 8732, 9344, 9192, 9368, 9788, 9390, 9665, 9726, 9808]]
[[], [], [], [8876, 9012, 9286, 9370, 9535, 9350, 9678, 9882, 9670, 9758]]
[[], [], [], [8575, 9082, 9059, 9664, 9622, 9753, 9793, 9686, 9490, 9669]]
[[], [], [], [8807, 8945, 9314, 9221, 9400, 9629, 9547, 9682, 9620, 9659]]
[[], [], [], [8031, 8780, 9219, 9542, 9316, 9597, 9441, 9631, 9752, 9619]]
[[], [], [], [8590, 9133, 9016, 9460, 9423, 9393, 9693, 9872, 9679, 9693]]
[[], [], [], [8651, 9485, 9280, 9325, 9947, 9761, 9449, 9742, 9752, 9795]]
[[], [], [], [8582, 9063, 9388, 9419, 9379, 9563, 9578, 9633, 9599, 9937]]
[[], [], [], [8680, 9177, 9291, 9418, 9441, 9312, 9494, 9565, 9908, 9814]]
[[], [], [], [8605, 9388, 9040, 9356, 9524, 9612, 9618, 9399, 9374, 9516]]
[[], [], [], [8768, 8995, 9036, 9349, 9301, 9386, 9262, 9566, 9665, 9886]]
[[], [], [], [8526, 9004, 9596, 9368, 9833, 9518, 9867, 9784, 9820, 9810]]
[[], [], [], [8654, 8973, 9187, 9445, 9603, 9795, 9826, 9818, 9748, 9748]]
[[], [], [], [8486, 9300, 9380, 9497, 9454, 9764, 9800, 9669, 9722, 9994]]
